"Continent","Region","Country"
"Europe",NA,"Europe"
"Western Europe",NA,"Western Europe"
"Austria",NA,"Austria"
"Belgium",NA,"Belgium"
"Federal Republic of Germany (until 1990)",NA,"Federal Republic of Germany (until 1990)"
"France",NA,"France"
"German Democratic Republic (until 1990)",NA,"German Democratic Republic (until 1990)"
"Germany",NA,"Germany"
"Liechtenstein",NA,"Liechtenstein"
"Luxembourg",NA,"Luxembourg"
"Monaco",NA,"Monaco"
"Netherlands",NA,"Netherlands"
"Switzerland",NA,"Switzerland"
"Northern Europe",NA,"Northern Europe"
"Channel Islands",NA,"Channel Islands"
"Denmark",NA,"Denmark"
"Estonia",NA,"Estonia"
"Faeroe Islands",NA,"Faeroe Islands"
"Finland",NA,"Finland"
"Guernsey",NA,"Guernsey"
"Iceland",NA,"Iceland"
"Ireland",NA,"Ireland"
"Isle of Man",NA,"Isle of Man"
"Jersey",NA,"Jersey"
"Latvia",NA,"Latvia"
"Lithuania",NA,"Lithuania"
"Norway",NA,"Norway"
"Sark",NA,"Sark"
"Svalbard and Jan Mayen Islands",NA,"Svalbard and Jan Mayen Islands"
"Sweden",NA,"Sweden"
"United Kingdom of Great Britain and Northern Ireland",NA,"United Kingdom of Great Britain and Northern Ireland"
"Southern Europe",NA,"Southern Europe"
"Albania",NA,"Albania"
"Andorra",NA,"Andorra"
"Bosnia and Herzegovina",NA,"Bosnia and Herzegovina"
"Croatia",NA,"Croatia"
"Gibraltar",NA,"Gibraltar"
"Greece",NA,"Greece"
"Holy See",NA,"Holy See"
"Italy",NA,"Italy"
"Kosovo",NA,"Kosovo"
"Malta",NA,"Malta"
"Montenegro",NA,"Montenegro"
"Portugal",NA,"Portugal"
"San Marino",NA,"San Marino"
"Serbia",NA,"Serbia"
"Serbia and Montenegro (until 2006)",NA,"Serbia and Montenegro (until 2006)"
"Slovenia",NA,"Slovenia"
"Socialist Federal Republic of Yugoslavia (until 1992)",NA,"Socialist Federal Republic of Yugoslavia (until 1992)"
"Spain",NA,"Spain"
"The former Yugoslav Republic of Macedonia",NA,"The former Yugoslav Republic of Macedonia"
"Eastern Europe",NA,"Eastern Europe"
"Belarus",NA,"Belarus"
"Bulgaria",NA,"Bulgaria"
"Czech Republic",NA,"Czech Republic"
"Czechoslovakia (until 1993)",NA,"Czechoslovakia (until 1993)"
"Hungary",NA,"Hungary"
"Poland",NA,"Poland"
"Republic of Moldova",NA,"Republic of Moldova"
"Romania",NA,"Romania"
"Russian Federation",NA,"Russian Federation"
"Slovakia",NA,"Slovakia"
"Ukraine",NA,"Ukraine"
"Americas","USSR (until 1991)","Americas"
"Northern America","USSR (until 1991)","Northern America"
"Bermuda","USSR (until 1991)","Bermuda"
"Canada","USSR (until 1991)","Canada"
"Greenland","USSR (until 1991)","Greenland"
"Saint Pierre and Miquelon","USSR (until 1991)","Saint Pierre and Miquelon"
"United States of America","USSR (until 1991)","United States of America"
"Latin America and the Caribbean","USSR (until 1991)","Latin America and the Caribbean"
"Caribbean","USSR (until 1991)","Caribbean"
"Anguilla","USSR (until 1991)","Anguilla"
"Antigua and Barbuda","USSR (until 1991)","Antigua and Barbuda"
"Aruba","USSR (until 1991)","Aruba"
"Bahamas","USSR (until 1991)","Bahamas"
"Barbados","USSR (until 1991)","Barbados"
"Bonaire, Saint Eustatius and Saba","USSR (until 1991)","Bonaire, Saint Eustatius and Saba"
"British Virgin Islands","USSR (until 1991)","British Virgin Islands"
"Cayman Islands","USSR (until 1991)","Cayman Islands"
"Cuba","USSR (until 1991)","Cuba"
"Curaçao","USSR (until 1991)","Curaçao"
"Dominica","USSR (until 1991)","Dominica"
"Dominican Republic","USSR (until 1991)","Dominican Republic"
"Grenada","USSR (until 1991)","Grenada"
"Guadeloupe","USSR (until 1991)","Guadeloupe"
"Haiti","USSR (until 1991)","Haiti"
"Jamaica","USSR (until 1991)","Jamaica"
"Martinique","USSR (until 1991)","Martinique"
"Montserrat","USSR (until 1991)","Montserrat"
"Netherlands Antilles (until 2010)","USSR (until 1991)","Netherlands Antilles (until 2010)"
"Puerto Rico","USSR (until 1991)","Puerto Rico"
"Saint-Barthélemy","USSR (until 1991)","Saint-Barthélemy"
"Saint Kitts and Nevis","USSR (until 1991)","Saint Kitts and Nevis"
"Saint Lucia","USSR (until 1991)","Saint Lucia"
"Saint Martin (French part)","USSR (until 1991)","Saint Martin (French part)"
"Saint Vincent and the Grenadines","USSR (until 1991)","Saint Vincent and the Grenadines"
"Sint Maarten (Dutch part)","USSR (until 1991)","Sint Maarten (Dutch part)"
"Trinidad and Tobago","USSR (until 1991)","Trinidad and Tobago"
"Turks and Caicos Islands","USSR (until 1991)","Turks and Caicos Islands"
"United States Virgin Islands","USSR (until 1991)","United States Virgin Islands"
"Central America","USSR (until 1991)","Central America"
"Belize","USSR (until 1991)","Belize"
"Costa Rica","USSR (until 1991)","Costa Rica"
"El Salvador","USSR (until 1991)","El Salvador"
"Guatemala","USSR (until 1991)","Guatemala"
"Honduras","USSR (until 1991)","Honduras"
"Mexico","USSR (until 1991)","Mexico"
"Nicaragua","USSR (until 1991)","Nicaragua"
"Panama","USSR (until 1991)","Panama"
"South America","USSR (until 1991)","South America"
"Argentina","USSR (until 1991)","Argentina"
"Bolivia (Plurinational State of)","USSR (until 1991)","Bolivia (Plurinational State of)"
"Brazil","USSR (until 1991)","Brazil"
"Chile","USSR (until 1991)","Chile"
"Colombia","USSR (until 1991)","Colombia"
"Ecuador","USSR (until 1991)","Ecuador"
"Falkland Islands (Malvinas)","USSR (until 1991)","Falkland Islands (Malvinas)"
"French Guiana","USSR (until 1991)","French Guiana"
"Guyana","USSR (until 1991)","Guyana"
"Paraguay","USSR (until 1991)","Paraguay"
"Peru","USSR (until 1991)","Peru"
"Suriname","USSR (until 1991)","Suriname"
"Uruguay","USSR (until 1991)","Uruguay"
"Venezuela (Bolivarian Republic of)","USSR (until 1991)","Venezuela (Bolivarian Republic of)"
"Oceania","USSR (until 1991)","Oceania"
"Australia and New Zealand","USSR (until 1991)","Australia and New Zealand"
"Australia","USSR (until 1991)","Australia"
"New Zealand","USSR (until 1991)","New Zealand"
"Norfolk Island","USSR (until 1991)","Norfolk Island"
"Melanesia","USSR (until 1991)","Melanesia"
"Fiji","USSR (until 1991)","Fiji"
"New Caledonia","USSR (until 1991)","New Caledonia"
"Papua New Guinea","USSR (until 1991)","Papua New Guinea"
"Solomon Islands","USSR (until 1991)","Solomon Islands"
"Vanuatu","USSR (until 1991)","Vanuatu"
"Micronesia","USSR (until 1991)","Micronesia"
"Guam","USSR (until 1991)","Guam"
"Kiribati","USSR (until 1991)","Kiribati"
"Marshall Islands","USSR (until 1991)","Marshall Islands"
"Micronesia (Federated States of)","USSR (until 1991)","Micronesia (Federated States of)"
"Nauru","USSR (until 1991)","Nauru"
"Northern Mariana Islands","USSR (until 1991)","Northern Mariana Islands"
"Pacific Islands (Trust Territory) (1947-1986)","USSR (until 1991)","Pacific Islands (Trust Territory) (1947-1986)"
"Palau","USSR (until 1991)","Palau"
"Polynesia","USSR (until 1991)","Polynesia"
"American Samoa","USSR (until 1991)","American Samoa"
"Cook Islands","USSR (until 1991)","Cook Islands"
"French Polynesia","USSR (until 1991)","French Polynesia"
"Niue","USSR (until 1991)","Niue"
"Pitcairn","USSR (until 1991)","Pitcairn"
"Samoa","USSR (until 1991)","Samoa"
"Tokelau","USSR (until 1991)","Tokelau"
"Tonga","USSR (until 1991)","Tonga"
"Tuvalu","USSR (until 1991)","Tuvalu"
"Wallis and Futuna Islands","USSR (until 1991)","Wallis and Futuna Islands"
"Asia","USSR (until 1991)","Asia"
"Southern Asia","USSR (until 1991)","Southern Asia"
"Afghanistan","USSR (until 1991)","Afghanistan"
"Bangladesh","USSR (until 1991)","Bangladesh"
"Bhutan","USSR (until 1991)","Bhutan"
"India","USSR (until 1991)","India"
"Iran (Islamic Republic of)","USSR (until 1991)","Iran (Islamic Republic of)"
"Maldives","USSR (until 1991)","Maldives"
"Nepal","USSR (until 1991)","Nepal"
"Pakistan","USSR (until 1991)","Pakistan"
"Sri Lanka","USSR (until 1991)","Sri Lanka"
"Tibet","USSR (until 1991)","Tibet"
"Eastern Asia","USSR (until 1991)","Eastern Asia"
"China","USSR (until 1991)","China"
"China, Hong Kong Special Administrative Region","USSR (until 1991)","China, Hong Kong Special Administrative Region"
"China, Macao Special Administrative Region","USSR (until 1991)","China, Macao Special Administrative Region"
"Democratic People's Republic of Korea","USSR (until 1991)","Democratic People's Republic of Korea"
"Japan","USSR (until 1991)","Japan"
"Mongolia","USSR (until 1991)","Mongolia"
"Republic of Korea","USSR (until 1991)","Republic of Korea"
"Taiwan","USSR (until 1991)","Taiwan"
"South-Eastern Asia","USSR (until 1991)","South-Eastern Asia"
"Brunei Darussalam","USSR (until 1991)","Brunei Darussalam"
"Cambodia","USSR (until 1991)","Cambodia"
"Indonesia","USSR (until 1991)","Indonesia"
"Indonesia (until 1999)","USSR (until 1991)","Indonesia (until 1999)"
"Lao People's Democratic Republic","USSR (until 1991)","Lao People's Democratic Republic"
"Malaysia","USSR (until 1991)","Malaysia"
"Myanmar","USSR (until 1991)","Myanmar"
"Philippines","USSR (until 1991)","Philippines"
"Singapore","USSR (until 1991)","Singapore"
"Thailand","USSR (until 1991)","Thailand"
"Timor-Leste","USSR (until 1991)","Timor-Leste"
"Viet Nam","USSR (until 1991)","Viet Nam"
"Western Asia","USSR (until 1991)","Western Asia"
"Armenia","USSR (until 1991)","Armenia"
"Azerbaijan","USSR (until 1991)","Azerbaijan"
"Bahrain","USSR (until 1991)","Bahrain"
"Cyprus","USSR (until 1991)","Cyprus"
"Democratic Yemen (until 1990)","USSR (until 1991)","Democratic Yemen (until 1990)"
"Georgia","USSR (until 1991)","Georgia"
"Iraq","USSR (until 1991)","Iraq"
"Israel","USSR (until 1991)","Israel"
"Jordan","USSR (until 1991)","Jordan"
"Kuwait","USSR (until 1991)","Kuwait"
"Lebanon","USSR (until 1991)","Lebanon"
"Occupied Palestinian Territory","USSR (until 1991)","Occupied Palestinian Territory"
"Oman","USSR (until 1991)","Oman"
"Qatar","USSR (until 1991)","Qatar"
"Saudi Arabia","USSR (until 1991)","Saudi Arabia"
"Syrian Arab Republic","USSR (until 1991)","Syrian Arab Republic"
"Turkey","USSR (until 1991)","Turkey"
"United Arab Emirates","USSR (until 1991)","United Arab Emirates"
"Yemen (until 1990)","USSR (until 1991)","Yemen (until 1990)"
"Yemen","USSR (until 1991)","Yemen"
"Central Asia","USSR (until 1991)","Central Asia"
"Kazakhstan","USSR (until 1991)","Kazakhstan"
"Kyrgyzstan","USSR (until 1991)","Kyrgyzstan"
"Tajikistan","USSR (until 1991)","Tajikistan"
"Turkmenistan","USSR (until 1991)","Turkmenistan"
"Uzbekistan","USSR (until 1991)","Uzbekistan"
"Africa","USSR (until 1991)","Africa"
"Northern Africa","USSR (until 1991)","Northern Africa"
"Algeria","USSR (until 1991)","Algeria"
"Egypt","USSR (until 1991)","Egypt"
"Libya","USSR (until 1991)","Libya"
"Morocco","USSR (until 1991)","Morocco"
"South Sudan","USSR (until 1991)","South Sudan"
"Sudan (North)","USSR (until 1991)","Sudan (North)"
"Sudan (until 2011)","USSR (until 1991)","Sudan (until 2011)"
"Tunisia","USSR (until 1991)","Tunisia"
"Western Sahara","USSR (until 1991)","Western Sahara"
"Western Africa","USSR (until 1991)","Western Africa"
"Benin","USSR (until 1991)","Benin"
"Burkina Faso","USSR (until 1991)","Burkina Faso"
"Cape Verde","USSR (until 1991)","Cape Verde"
"Cote d'Ivoire","USSR (until 1991)","Cote d'Ivoire"
"Gambia","USSR (until 1991)","Gambia"
"Ghana","USSR (until 1991)","Ghana"
"Guinea","USSR (until 1991)","Guinea"
"Guinea-Bissau","USSR (until 1991)","Guinea-Bissau"
"Liberia","USSR (until 1991)","Liberia"
"Mali","USSR (until 1991)","Mali"
"Mauritania","USSR (until 1991)","Mauritania"
"Niger","USSR (until 1991)","Niger"
"Nigeria","USSR (until 1991)","Nigeria"
"Saint Helena","USSR (until 1991)","Saint Helena"
"Senegal","USSR (until 1991)","Senegal"
"Sierra Leone","USSR (until 1991)","Sierra Leone"
"Togo","USSR (until 1991)","Togo"
"Middle Africa","USSR (until 1991)","Middle Africa"
"Angola","USSR (until 1991)","Angola"
"Cameroon","USSR (until 1991)","Cameroon"
"Central African Republic","USSR (until 1991)","Central African Republic"
"Chad","USSR (until 1991)","Chad"
"Congo","USSR (until 1991)","Congo"
"Democratic Republic of the Congo","USSR (until 1991)","Democratic Republic of the Congo"
"Equatorial Guinea","USSR (until 1991)","Equatorial Guinea"
"Gabon","USSR (until 1991)","Gabon"
"Sao Tome and Principe","USSR (until 1991)","Sao Tome and Principe"
"Southern Africa","USSR (until 1991)","Southern Africa"
"Botswana","USSR (until 1991)","Botswana"
"Lesotho","USSR (until 1991)","Lesotho"
"Namibia","USSR (until 1991)","Namibia"
"South Africa","USSR (until 1991)","South Africa"
"Swaziland","USSR (until 1991)","Swaziland"
"Eastern Africa","USSR (until 1991)","Eastern Africa"
"Burundi","USSR (until 1991)","Burundi"
"Comoros","USSR (until 1991)","Comoros"
"Djibouti","USSR (until 1991)","Djibouti"
"Eritrea","USSR (until 1991)","Eritrea"
"Ethiopia (until 1993)","USSR (until 1991)","Ethiopia (until 1993)"
"Ethiopia (from 1993)","USSR (until 1991)","Ethiopia (from 1993)"
"Kenya","USSR (until 1991)","Kenya"
"Madagascar","USSR (until 1991)","Madagascar"
"Malawi","USSR (until 1991)","Malawi"
"Mauritius","USSR (until 1991)","Mauritius"
"Mayotte","USSR (until 1991)","Mayotte"
"Mozambique","USSR (until 1991)","Mozambique"
"Rwanda","Réunion","Rwanda"
"Seychelles","Réunion","Seychelles"
"Somalia","Réunion","Somalia"
"Uganda","Réunion","Uganda"
"United Republic of Tanzania","Réunion","United Republic of Tanzania"
"Zambia","Réunion","Zambia"
"Zimbabwe","Réunion","Zimbabwe"
